,title,url,header,email,number,city,country,region,population
0,Acorns International School,https://aisa.or.ke/member-schools/acorns-international-school/,Ameena Lalani,mailto:info@ais.ac.ug,tel:(256) 312-202-665,Kampala,Uganda,East Africa,250
1,Aga Khan Academy – Mombasa,https://aisa.or.ke/member-schools/aga-khan-academy-mombasa/,Alison Hampshire,,tel:(254) 7486 185517,Mombasa,Kenya,East Africa,685
2,"Aga Khan School, Kampala",https://aisa.or.ke/member-schools/aga-khan-school-kampala/,Musaazi Magembe,mailto:admin@akesu.org,tel:+256 414308245/48,Kampala,Uganda,East Africa,747
3,Al-Rayan International School,https://aisa.or.ke/member-schools/al-rayan-international-school/,Fatma Odaymat,mailto:communication@aris.edu.gh,tel:(233) 246444666,Accra,Ghana,West Africa,642
4,Ambatovy International School,https://aisa.or.ke/member-schools/ambatovy-international-school/,Alba Carollo,mailto:Hos@ambatovyis.education,tel:(261) 333 765 220,Toamasina,Madagascar,Southern Africa,
5,Ambrosoli International School,https://aisa.or.ke/member-schools/ambrosoli-international-school/,Emma Norris,mailto:admissions@ambrosolischool.com,tel:(256) 0772707055,Kampala,Uganda,East Africa,260
6,American International School of Abuja,https://aisa.or.ke/member-schools/american-international-school-of-abuja/,Greg Hughes,mailto:admission@aisabuja.com,tel:(+234) 8186010814,Abuja,Nigeria,West Africa,470
7,American International School of Bamako,https://aisa.or.ke/member-schools/american-international-school-of-bamako/,Stacy Rosie,mailto:aisb@aisbmali.org,tel:(223) 20-22-47-38,Bamako,Mali,West Africa,153
8,American International School of Brazzaville,https://aisa.or.ke/member-schools/american-international-school-of-brazzaville/,Laura Viban,mailto:info@aisbrazza.org,tel:(242) 068-68-08-04,Brazzaville,Republic of the Congo,West Africa,96
9,American International School of Cape Town,https://aisa.or.ke/member-schools/american-international-school-of-cape-town/,Dr. Daniel Jubert,mailto:aisct@aisct.org,tel:(27) 21 713 2220,Cape Town,South Africa,Southern Africa,460
10,American International School of Conakry,https://aisa.or.ke/member-schools/american-international-school-of-conakry/,Mark Dempsey,mailto:office@aisconakry.org,tel:(224) 654 28 22 22,Conakry,Guinea,West Africa,104
11,American International School of Freetown,https://aisa.or.ke/member-schools/american-international-school-of-freetown/,Brian Roach,mailto:director@ais-freetown.net,tel:(232) 79-552-345,Freetown,Sierra Leone,West Africa,73
12,American International School of Ghana,https://aisa.or.ke/member-schools/american-international-school/,Tameica Jones,mailto:info@aisghana.org,tel:+233 289 547 951,"#1 Jungle Avenue, East Legon, Accra ",Ghana,West Africa,222
13,American International School of Johannesburg,https://aisa.or.ke/member-schools/american-international-school-of-johannesburg/,Jeremy Moore,mailto:info@aisj-jhb.com,tel:(27) 11-46-41-505,Johannesburg,South Africa,Southern Africa,1176
14,American International School of Lagos,https://aisa.or.ke/member-schools/american-international-school-of-lagos/,Tom Pado,mailto:information@aislagos.org,tel:(234) 11-77-64-535,Lagos,Nigeria,West Africa,736
15,American International School of Lesotho,https://aisa.or.ke/member-schools/american-international-school-of-lesotho/,Mark Brookes,mailto:director@aisl.co.ls,tel:(266) 22-32-29-87,Maseru,Lesotho,Southern Africa,102
16,American International School of Lusaka,https://aisa.or.ke/member-schools/american-international-school-of-lusaka/,Dr Oli Tooher-Hancock,mailto:info@aislusaka.org,tel:(260) 21-12-60-509,Lusaka,Zambia,East Africa,429
17,American International School of Monrovia,https://aisa.or.ke/member-schools/american-international-school-of-monrovia/,Dr. Bobbi McDaniel,mailto:administration@aismonrovia.org,tel:(231) 770-194-635,Monrovia,Liberia,West Africa,92
18,American International School of Mozambique,https://aisa.or.ke/member-schools/american-international-school-of-mozambique/,Russ Menard,mailto:aism.info@aism-moz.com,tel:(258) 24-49-19-94,Maputo,Mozambique,East Africa,475
19,American International School of Niamey,https://aisa.or.ke/member-schools/american-international-school-of-niamey/,Timothy Kruger,,tel:(227) 20-72-39-42,Niamey,Niger,West Africa,74
20,American International School of Nouakchott,https://aisa.or.ke/member-schools/american-international-school-of-nouakchott/,MaryAnn Przekurat,mailto:director@aisnmauritania.com,tel:(222) 45-25-29-67,Nouakchott,Mauritania,North Africa,85
21,American School of Antananarivo,https://aisa.or.ke/member-schools/american-school-of-antananarivo/,Richard Reilly,mailto:contact@asamadagascar.org,tel:+261 20 22 534 33,Antananarivo,Madagascar,East Africa,248
22,American School of Douala,https://aisa.or.ke/member-schools/american-school-of-douala/,Michael Breece,mailto:asd@asddouala.com,tel:(237) 677717083,Douala,Cameroon,West Africa,177
23,American School of Yaounde,https://aisa.or.ke/member-schools/american-school-of-yaounde/,Joergen Glittenberg,mailto:info@asoy.org,tel:(237) 677 76 02 01, Yaounde,Cameroon,West Africa,198
